,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-18,118.589996,118.800003,117.470001,118.739998,118.287590,2844500
1,2019-09-19,118.610001,119.519997,117.599998,117.790001,117.341217,1975800
2,2019-09-20,117.830002,118.239998,116.370003,116.800003,116.354988,5301500
3,2019-09-23,116.360001,118.419998,116.099998,118.239998,117.789497,5089400
4,2019-09-24,118.889999,120.199997,117.519997,118.169998,117.719765,5128400
5,2019-09-25,117.860001,119.440002,117.059998,119.120003,118.666153,2742900
6,2019-09-26,119.309998,120.029999,118.839996,118.910004,118.456947,3411200
7,2019-09-27,119.129997,119.620003,117.980003,118.589996,118.138161,2909200
8,2019-09-30,119.050003,119.239998,118.139999,118.279999,117.829346,2345800
